lrate,l2_reg,batchsize,n_epochs,loss
0.6021643430334512,0.44663897749794507,23.0,1258.0,0.17400000000000004
0.15988746282408162,0.6997442641352307,340.0,847.0,0.15749999999999997
0.08077959770184064,0.17656250979687826,1256.0,482.0,0.14339999999999997
0.6983024687145897,0.9260211852603553,185.0,1594.0,0.1361
0.22458491947074977,0.7943515558952323,92.0,1731.0,0.13
0.8813073972978737,0.503880129627245,741.0,1896.0,0.1321
0.5428342903684802,0.013545710209518003,898.0,1187.0,0.1654
0.31834733850608743,0.6247894033173633,216.0,752.0,0.1352
0.4299028358156545,0.9948411372622555,433.0,1416.0,0.15039999999999998
0.2486975672647001,0.8498779457662571,1076.0,970.0,0.127
0.0006001871194948466,0.7221765035912556,537.0,1295.0,0.1018
0.11526457161819291,0.7312758421135546,268.0,1108.0,0.17279999999999995
0.008922413792374762,0.9444871648292475,548.0,499.0,0.12480000000000002
0.15896202365610293,0.8337752374633229,1048.0,1257.0,0.13570000000000004
0.044660626518741635,0.8987525654828026,800.0,1454.0,0.11780000000000002
0.30340493259246776,0.6988458639348445,949.0,1354.0,0.15180000000000005
0.20770999548073144,0.8217920525578626,675.0,972.0,0.13080000000000003
0.3579916945791419,0.9588661977978369,117.0,746.0,0.11560000000000004
0.6361025935210138,0.9943683912896101,1347.0,1091.0,0.12290000000000001
0.004608962528248814,0.7746197595503884,1605.0,1898.0,0.12190000000000001
0.12630095337710195,0.6683613385199397,468.0,298.0,0.16579999999999995
0.18541733509930625,0.5963973664152408,578.0,1533.0,0.15800000000000003
0.4485991176024558,0.8694397234450008,1847.0,1270.0,0.1602
0.526468211773518,0.551672943678001,819.0,1751.0,0.15800000000000003
0.995606718172303,0.7749774067688624,1139.0,1020.0,0.15490000000000004
0.04347441533718663,0.9219661910968923,371.0,1622.0,0.1512
0.7115308648750908,0.6551159132233849,1001.0,881.0,0.15739999999999998
0.4004635898011331,0.45800007025838535,1226.0,1482.0,0.12170000000000003
0.2911946459534741,0.7296283090674789,881.0,1133.0,0.13549999999999995
0.07483532478045897,0.34847103332975427,403.0,1627.0,0.16790000000000005
0.178207003086105,0.5352565508426899,319.0,1311.0,0.13360000000000005
0.09718770281898341,0.41880472105584454,211.0,1857.0,0.14629999999999999
0.23592555693032852,0.6108398826266233,79.0,1685.0,0.16269999999999996
0.025440639759863087,0.48013972615147277,607.0,1965.0,0.14290000000000003
0.12408852735885562,0.30970933865996764,491.0,1551.0,0.134
0.32872395854384295,0.39036294628379997,728.0,1740.0,0.19799999999999995
0.06644641267974064,0.5728552911682872,136.0,1214.0,0.13419999999999999
0.14407624153613863,0.22533603964271215,250.0,1434.0,0.15349999999999997
0.034713613917542206,0.6915252636908504,380.0,1369.0,0.1452
0.35435825388730396,0.6399416077876637,651.0,1810.0,0.20220000000000005
2.002819576918391e-05,0.10382736632837308,554.0,1487.0,0.12360000000000004
0.2565487575698333,0.8093109408751984,306.0,1699.0,0.12980000000000003
0.19339182487763942,0.7670194969270852,458.0,810.0,0.125
0.08156631362217212,0.8745378268120786,163.0,927.0,0.1261
0.8634526516348737,0.716185427289547,32.0,1043.0,0.12180000000000002
0.4904661912691483,0.5138670138903436,245.0,1625.0,0.16679999999999995
0.09989626673522897,0.9132132625949839,840.0,1924.0,0.12270000000000003
0.29194092871326227,0.4804776251636296,708.0,1310.0,0.12439999999999996
0.22085400264645086,0.43650319740692856,764.0,574.0,0.1502
0.5815593309342627,0.5580940514672548,345.0,1775.0,0.12270000000000003
0.17025055217053275,0.8451030285846934,425.0,1137.0,0.11419999999999997
0.1313705281241878,0.9780435834453091,518.0,1514.0,0.11839999999999995
0.0523066758047437,0.6825895523578649,916.0,1397.0,0.12270000000000003
0.20360615625805942,0.9392533245346348,88.0,1864.0,0.13119999999999998
0.707667283505822,0.5939455703919649,577.0,1565.0,0.136
0.7445544993150897,0.7535807070900444,293.0,1189.0,0.12739999999999996
0.002060029075149253,0.793672164249593,1437.0,1999.0,0.10370000000000001
0.0226042423268957,0.8662776676326189,1473.0,1943.0,0.13560000000000005
0.37992443146974836,0.7887648005829825,1364.0,1821.0,0.12849999999999995
0.002354518949689244,0.9022430389747569,1651.0,1639.0,0.128
0.9213946549190116,0.800782193921,1811.0,1987.0,0.13590000000000002
0.1420914656777273,0.8237087183672919,1532.0,1704.0,0.14500000000000002
0.10928135052228788,0.9587804389620947,1919.0,1266.0,0.11240000000000006
0.8311300902330792,0.8838440865392175,1429.0,1995.0,0.10899999999999999
