lrate,l2_reg,n_epochs,loss
0.1144925904953713,0.9963063704978655,283,0.11939158770949564
0.1611692033350742,0.9965096238190806,283,0.11959468850726471
0.1250083568128764,0.9965527064797036,46,0.11947939588709808
0.9637848202997382,0.951210901007903,1128,0.14296107611811504
0.12570142909881016,0.9957166091625245,288,0.11947798263166293
0.6834683777592344,0.8040668405892918,228,0.1462875226511258
0.11829628879978722,0.9972471035455032,285,0.11939158770949564
0.11007632922163871,0.9972137715324434,791,0.12029655667251092
0.11055783866797729,0.9956243657386991,285,0.11947798263166293
0.1193682738611417,0.997441513537404,284,0.11939158770949564
0.6395660765475584,0.7556790172158004,635,0.14481360624267178
0.11406023839425539,0.997156603972149,285,0.11939158770949564
0.12285583006153294,0.997156603972149,306,0.11939158770949564
0.1639763737052523,0.0682090043719481,846,0.14997442592907584
0.11916629247539372,0.997156603972149,284,0.11939158770949564
0.08685604294653189,0.997145715201126,335,0.1200334715035837
0.12165418390991575,0.9972961609740648,303,0.11939158770949564
0.11523351047871644,0.9968440326480593,400,0.11965909386801617
0.0951604952558138,0.997473404794189,287,0.1197541092439606
0.11891858483959698,0.997156603972149,238,0.11943460733773521
0.1185789955925032,0.9994581384720284,307,0.1196412337347529
0.12086027275799113,0.9972961609740648,280,0.11939158770949564
0.12300820056328766,0.997156603972149,288,0.11939158770949564
0.1193682738611417,0.9963149218455736,302,0.11939158770949564
0.11913635430345286,0.9971498656037832,275,0.11939158770949564
0.11634792180750145,0.9993403589810365,274,0.11936661951014947
0.11412809673693806,0.998386925028158,281,0.11939333077089176
0.11567954533617804,0.9993384015945641,282,0.11941876479065353
0.11631477495930514,0.9997568462910806,266,0.11952195424272972
0.8572075132852978,0.1628369715904492,363,0.16459108387915894
0.23090290234579458,0.19813539213143672,106,0.15809688387628387
0.11634792180750145,0.9997944107973221,274,0.11938892104353455
0.12384602129696923,0.9995196953981387,274,0.11958908845424883
0.11766394766095836,0.9993403589810365,274,0.11936661951014947
0.11701319407683278,0.9993403589810365,272,0.11949965270934462
0.7961979216758884,0.08767202105362626,1003,0.168838924627517
